instant,dateday,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count,windspeed_category
9321,2012-01-29,Spring,2012,January,6,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,8.200000000000001,11.365,40.0,7.0015,1,4,5,Low Wind
9322,2012-01-29,Spring,2012,January,7,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,8.200000000000001,10.605,37.0,8.9981,0,12,12,Low Wind
9323,2012-01-29,Spring,2012,January,8,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,7.38,9.85,40.0,8.9981,9,61,70,Low Wind
9324,2012-01-29,Spring,2012,January,9,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,7.38,9.85,43.0,8.9981,13,98,111,Low Wind
9325,2012-01-29,Spring,2012,January,10,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,9.84,12.120000000000001,35.0,8.9981,38,153,191,Low Wind
9326,2012-01-29,Spring,2012,January,11,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,11.48,13.635,28.000000000000004,15.001299999999999,57,198,255,Medium Wind
9327,2012-01-29,Spring,2012,January,12,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.120000000000001,15.15,26.0,15.001299999999999,73,215,288,Medium Wind
9328,2012-01-29,Spring,2012,January,13,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.120000000000001,15.15,26.0,15.001299999999999,78,238,316,Medium Wind
9329,2012-01-29,Spring,2012,January,14,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.120000000000001,15.15,26.0,16.997899999999998,51,229,280,Medium Wind
9330,2012-01-29,Spring,2012,January,15,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,14.76,16.665,25.0,19.0012,68,242,310,Medium Wind
9331,2012-01-29,Spring,2012,January,16,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,14.76,16.665,21.0,27.999299999999998,54,268,322,Medium Wind
9332,2012-01-29,Spring,2012,January,17,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,14.76,16.665,21.0,27.999299999999998,33,201,234,Medium Wind
9333,2012-01-29,Spring,2012,January,18,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.940000000000001,15.15,23.0,23.9994,17,151,168,Medium Wind
9334,2012-01-29,Spring,2012,January,19,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.120000000000001,15.15,28.999999999999996,16.997899999999998,14,145,159,Medium Wind
9335,2012-01-29,Spring,2012,January,20,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.299999999999999,14.395,39.0,15.001299999999999,13,98,111,Medium Wind
9336,2012-01-29,Spring,2012,January,21,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.299999999999999,14.395,33.0,19.0012,0,69,69,Medium Wind
9337,2012-01-29,Spring,2012,January,22,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,13.120000000000001,14.395,26.0,26.0027,7,57,64,Medium Wind
9338,2012-01-29,Spring,2012,January,23,Non-Holiday,Sunday,Weekend/Holiday,Clear/Partly Cloudy,12.299999999999999,13.635,33.0,22.0028,4,21,25,Medium Wind
9339,2012-01-30,Spring,2012,January,0,Non-Holiday,Monday,Working Day,Misty/Cloudy,13.120000000000001,14.395,26.0,27.999299999999998,0,10,10,Medium Wind
9340,2012-01-30,Spring,2012,January,1,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,10.66,11.365,60.0,23.9994,0,9,9,Medium Wind
9341,2012-01-30,Spring,2012,January,2,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.84,10.605,48.0,23.9994,1,6,7,Medium Wind
9342,2012-01-30,Spring,2012,January,3,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.84,11.365,48.0,12.998000000000001,0,4,4,Low Wind
9343,2012-01-30,Spring,2012,January,4,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,8.200000000000001,10.605,51.0,8.9981,0,5,5,Low Wind
9344,2012-01-30,Spring,2012,January,5,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,8.200000000000001,10.605,51.0,8.9981,0,26,26,Low Wind
9345,2012-01-30,Spring,2012,January,6,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.02,10.605,44.0,16.997899999999998,0,80,80,Medium Wind
9346,2012-01-30,Spring,2012,January,7,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.02,10.605,44.0,19.0012,4,221,225,Medium Wind
9347,2012-01-30,Spring,2012,January,8,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,8.200000000000001,9.85,47.0,15.001299999999999,12,481,493,Medium Wind
9348,2012-01-30,Spring,2012,January,9,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,8.200000000000001,9.85,47.0,15.001299999999999,5,193,198,Medium Wind
9349,2012-01-30,Spring,2012,January,10,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,9.02,10.605,41.0,19.0012,3,82,85,Medium Wind
9350,2012-01-30,Spring,2012,January,11,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,10.66,12.879999999999999,38.0,0.0,6,93,99,
9351,2012-01-30,Spring,2012,January,12,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,10.66,11.365,35.0,26.0027,5,129,134,Medium Wind
9352,2012-01-30,Spring,2012,January,13,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,31.0,12.998000000000001,15,117,132,Low Wind
9353,2012-01-30,Spring,2012,January,14,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,13.120000000000001,16.665,24.0,8.9981,15,100,115,Low Wind
9354,2012-01-30,Spring,2012,January,15,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,13.120000000000001,15.909999999999998,24.0,12.998000000000001,7,131,138,Low Wind
9355,2012-01-30,Spring,2012,January,16,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,13.940000000000001,16.665,25.0,12.998000000000001,11,210,221,Low Wind
9356,2012-01-30,Spring,2012,January,17,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,14.76,17.424999999999997,21.0,12.998000000000001,16,422,438,Low Wind
9357,2012-01-30,Spring,2012,January,18,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,13.940000000000001,16.665,23.0,11.0014,11,399,410,Low Wind
9358,2012-01-30,Spring,2012,January,19,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,12.299999999999999,15.909999999999998,45.0,7.0015,8,298,306,Low Wind
9359,2012-01-30,Spring,2012,January,20,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,12.299999999999999,15.15,39.0,11.0014,2,179,181,Low Wind
9360,2012-01-30,Spring,2012,January,21,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,12.299999999999999,15.15,42.0,11.0014,3,159,162,Low Wind
9361,2012-01-30,Spring,2012,January,22,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,11.48,13.635,48.0,15.001299999999999,2,92,94,Medium Wind
9362,2012-01-30,Spring,2012,January,23,Non-Holiday,Monday,Working Day,Clear/Partly Cloudy,10.66,12.879999999999999,60.0,12.998000000000001,0,52,52,Low Wind
9363,2012-01-31,Spring,2012,January,0,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,11.48,13.635,52.0,16.997899999999998,0,15,15,Medium Wind
9364,2012-01-31,Spring,2012,January,1,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.299999999999999,13.635,42.0,19.999499999999998,1,7,8,Medium Wind
9365,2012-01-31,Spring,2012,January,2,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,42.0,15.001299999999999,0,2,2,Medium Wind
9366,2012-01-31,Spring,2012,January,3,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,45.0,15.001299999999999,0,2,2,Medium Wind
9367,2012-01-31,Spring,2012,January,4,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,49.0,12.998000000000001,0,1,1,Low Wind
9368,2012-01-31,Spring,2012,January,5,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,49.0,12.998000000000001,0,22,22,Low Wind
9369,2012-01-31,Spring,2012,January,6,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,11.48,13.635,52.0,11.0014,0,104,104,Low Wind
9370,2012-01-31,Spring,2012,January,7,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,10.66,12.879999999999999,60.0,12.998000000000001,6,273,279,Low Wind
9371,2012-01-31,Spring,2012,January,8,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,10.66,13.635,60.0,7.0015,14,498,512,Low Wind
9372,2012-01-31,Spring,2012,January,9,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,52.0,12.998000000000001,30,231,261,Low Wind
9373,2012-01-31,Spring,2012,January,10,Non-Holiday,Tuesday,Working Day,Misty/Cloudy,13.120000000000001,15.909999999999998,56.99999999999999,12.998000000000001,34,110,144,Low Wind
9374,2012-01-31,Spring,2012,January,11,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,37.0,19.0012,14,125,139,Medium Wind
9375,2012-01-31,Spring,2012,January,12,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,43.0,19.999499999999998,13,181,194,Medium Wind
9376,2012-01-31,Spring,2012,January,13,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.86,22.725,36.0,15.001299999999999,27,171,198,Medium Wind
9377,2012-01-31,Spring,2012,January,14,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,28.999999999999996,22.0028,18,142,160,Medium Wind
9378,2012-01-31,Spring,2012,January,15,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.14,25.759999999999998,26.0,30.002599999999997,27,150,177,High Wind
9379,2012-01-31,Spring,2012,January,16,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.14,25.759999999999998,26.0,30.002599999999997,30,277,307,High Wind
9380,2012-01-31,Spring,2012,January,17,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.14,25.759999999999998,26.0,27.999299999999998,41,518,559,Medium Wind
9381,2012-01-31,Spring,2012,January,18,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,22.14,25.759999999999998,24.0,23.9994,16,486,502,Medium Wind
9382,2012-01-31,Spring,2012,January,19,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,28.999999999999996,19.0012,22,306,328,Medium Wind
9383,2012-01-31,Spring,2012,January,20,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,57.99999999999999,7.0015,15,223,238,Low Wind
9384,2012-01-31,Spring,2012,January,21,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.86,22.725,33.0,19.999499999999998,3,162,165,Medium Wind
9385,2012-01-31,Spring,2012,January,22,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.04,21.97,35.0,19.999499999999998,11,118,129,Medium Wind
9386,2012-01-31,Spring,2012,January,23,Non-Holiday,Tuesday,Working Day,Clear/Partly Cloudy,18.04,21.97,38.0,16.997899999999998,2,61,63,Medium Wind
9387,2012-02-01,Spring,2012,February,0,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.04,21.97,38.0,19.0012,0,31,31,Medium Wind
9388,2012-02-01,Spring,2012,February,1,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.04,21.97,41.0,19.0012,0,4,4,Medium Wind
9389,2012-02-01,Spring,2012,February,2,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.04,21.97,44.0,19.0012,1,6,7,Medium Wind
9390,2012-02-01,Spring,2012,February,3,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.04,21.97,44.0,12.998000000000001,0,3,3,Low Wind
9391,2012-02-01,Spring,2012,February,4,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,50.0,11.0014,0,1,1,Low Wind
9392,2012-02-01,Spring,2012,February,5,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,50.0,11.0014,0,18,18,Low Wind
9393,2012-02-01,Spring,2012,February,6,Non-Holiday,Wednesday,Working Day,Light Precipitation,16.400000000000002,20.455000000000002,54.0,11.0014,0,67,67,Low Wind
9394,2012-02-01,Spring,2012,February,7,Non-Holiday,Wednesday,Working Day,Light Precipitation,15.58,19.695,62.0,6.0032,7,201,208,Low Wind
9395,2012-02-01,Spring,2012,February,8,Non-Holiday,Wednesday,Working Day,Light Precipitation,14.76,18.18,73.0,7.0015,15,505,520,Low Wind
9396,2012-02-01,Spring,2012,February,9,Non-Holiday,Wednesday,Working Day,Misty/Cloudy,14.76,17.424999999999997,71.0,12.998000000000001,9,267,276,Low Wind
9397,2012-02-01,Spring,2012,February,10,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,62.0,8.9981,9,124,133,Low Wind
9398,2012-02-01,Spring,2012,February,11,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,57.99999999999999,11.0014,27,116,143,Low Wind
9399,2012-02-01,Spring,2012,February,12,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.04,21.97,54.0,7.0015,26,153,179,Low Wind
9400,2012-02-01,Spring,2012,February,13,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.86,22.725,47.0,15.001299999999999,12,174,186,Medium Wind
9401,2012-02-01,Spring,2012,February,14,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,25.419999999999998,31.06,33.0,15.001299999999999,33,159,192,Medium Wind
9402,2012-02-01,Spring,2012,February,15,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,24.599999999999998,31.06,35.0,19.0012,25,169,194,Medium Wind
9403,2012-02-01,Spring,2012,February,16,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,24.599999999999998,31.06,40.0,15.001299999999999,22,261,283,Medium Wind
9404,2012-02-01,Spring,2012,February,17,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,23.779999999999998,27.275,43.0,12.998000000000001,31,508,539,Low Wind
9405,2012-02-01,Spring,2012,February,18,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,22.96,26.515,46.0,11.0014,12,514,526,Low Wind
9406,2012-02-01,Spring,2012,February,19,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,22.14,25.759999999999998,52.0,19.0012,20,315,335,Medium Wind
9407,2012-02-01,Spring,2012,February,20,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,21.32,25.0,52.0,11.0014,10,254,264,Low Wind
9408,2012-02-01,Spring,2012,February,21,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,21.32,25.0,52.0,11.0014,16,217,233,Low Wind
9409,2012-02-01,Spring,2012,February,22,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,20.5,24.240000000000002,55.00000000000001,12.998000000000001,7,133,140,Low Wind
9410,2012-02-01,Spring,2012,February,23,Non-Holiday,Wednesday,Working Day,Clear/Partly Cloudy,18.86,22.725,63.0,6.0032,22,75,97,Low Wind
9411,2012-02-02,Spring,2012,February,0,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.86,22.725,59.0,8.9981,7,24,31,Low Wind
9412,2012-02-02,Spring,2012,February,1,Non-Holiday,Thursday,Working Day,Misty/Cloudy,18.86,22.725,55.00000000000001,0.0,3,14,17,
9413,2012-02-02,Spring,2012,February,2,Non-Holiday,Thursday,Working Day,Misty/Cloudy,17.22,21.21,67.0,8.9981,2,7,9,Low Wind
9414,2012-02-02,Spring,2012,February,3,Non-Holiday,Thursday,Working Day,Misty/Cloudy,17.22,21.21,67.0,8.9981,0,2,2,Low Wind
9415,2012-02-02,Spring,2012,February,4,Non-Holiday,Thursday,Working Day,Light Precipitation,16.400000000000002,20.455000000000002,82.0,6.0032,0,1,1,Low Wind
9416,2012-02-02,Spring,2012,February,5,Non-Holiday,Thursday,Working Day,Light Precipitation,16.400000000000002,20.455000000000002,82.0,0.0,0,19,19,
9417,2012-02-02,Spring,2012,February,6,Non-Holiday,Thursday,Working Day,Light Precipitation,14.76,18.94,90.0,0.0,1,73,74,
9418,2012-02-02,Spring,2012,February,7,Non-Holiday,Thursday,Working Day,Light Precipitation,14.76,18.94,93.0,0.0,4,201,205,
9419,2012-02-02,Spring,2012,February,8,Non-Holiday,Thursday,Working Day,Light Precipitation,16.400000000000002,20.455000000000002,87.0,0.0,9,436,445,
9420,2012-02-02,Spring,2012,February,9,Non-Holiday,Thursday,Working Day,Light Precipitation,15.58,19.695,87.0,0.0,15,213,228,
9421,2012-02-02,Spring,2012,February,10,Non-Holiday,Thursday,Working Day,Light Precipitation,17.22,21.21,77.0,7.0015,6,72,78,Low Wind
9422,2012-02-02,Spring,2012,February,11,Non-Holiday,Thursday,Working Day,Light Precipitation,16.400000000000002,20.455000000000002,82.0,16.997899999999998,6,99,105,Medium Wind
9423,2012-02-02,Spring,2012,February,12,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.22,21.21,82.0,0.0,8,140,148,
9424,2012-02-02,Spring,2012,February,13,Non-Holiday,Thursday,Working Day,Misty/Cloudy,17.22,21.21,77.0,0.0,13,124,137,
9425,2012-02-02,Spring,2012,February,14,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,76.0,7.0015,12,129,141,Low Wind
9426,2012-02-02,Spring,2012,February,15,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.86,22.725,67.0,11.0014,24,150,174,Low Wind
9427,2012-02-02,Spring,2012,February,16,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,18.86,22.725,55.00000000000001,19.0012,18,211,229,Medium Wind
9428,2012-02-02,Spring,2012,February,17,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,17.22,21.21,54.0,32.9975,13,437,450,High Wind
9429,2012-02-02,Spring,2012,February,18,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,43.0,31.0009,17,393,410,High Wind
9430,2012-02-02,Spring,2012,February,19,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,15.58,19.695,43.0,35.0008,16,311,327,High Wind
9431,2012-02-02,Spring,2012,February,20,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,14.76,15.909999999999998,46.0,35.0008,9,204,213,High Wind
9432,2012-02-02,Spring,2012,February,21,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,13.940000000000001,15.15,46.0,27.999299999999998,4,144,148,Medium Wind
9433,2012-02-02,Spring,2012,February,22,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,13.120000000000001,14.395,49.0,27.999299999999998,3,106,109,Medium Wind
9434,2012-02-02,Spring,2012,February,23,Non-Holiday,Thursday,Working Day,Clear/Partly Cloudy,13.120000000000001,15.15,49.0,16.997899999999998,0,61,61,Medium Wind
9435,2012-02-03,Spring,2012,February,0,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,13.120000000000001,14.395,53.0,26.0027,1,37,38,Medium Wind
9436,2012-02-03,Spring,2012,February,1,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,12.299999999999999,13.635,56.00000000000001,22.0028,3,19,22,Medium Wind
9437,2012-02-03,Spring,2012,February,2,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,12.299999999999999,14.395,52.0,15.001299999999999,0,6,6,Medium Wind
9438,2012-02-03,Spring,2012,February,3,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,11.48,12.879999999999999,56.00000000000001,19.999499999999998,0,4,4,Medium Wind
9439,2012-02-03,Spring,2012,February,4,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,10.66,12.879999999999999,60.0,15.001299999999999,0,2,2,Medium Wind
9440,2012-02-03,Spring,2012,February,5,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,10.66,12.879999999999999,60.0,15.001299999999999,0,17,17,Medium Wind
9441,2012-02-03,Spring,2012,February,6,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,9.84,12.120000000000001,65.0,11.0014,0,88,88,Low Wind
9442,2012-02-03,Spring,2012,February,7,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,9.84,11.365,65.0,15.001299999999999,10,216,226,Medium Wind
9443,2012-02-03,Spring,2012,February,8,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,9.84,11.365,65.0,15.001299999999999,12,429,441,Medium Wind
9444,2012-02-03,Spring,2012,February,9,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,9.84,11.365,65.0,12.998000000000001,18,252,270,Low Wind
9445,2012-02-03,Spring,2012,February,10,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,11.48,12.879999999999999,56.00000000000001,19.0012,15,114,129,Medium Wind
9446,2012-02-03,Spring,2012,February,11,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,13.120000000000001,15.15,53.0,19.999499999999998,15,149,164,Medium Wind
9447,2012-02-03,Spring,2012,February,12,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,13.940000000000001,16.665,46.0,8.9981,25,191,216,Low Wind
9448,2012-02-03,Spring,2012,February,13,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,14.76,18.18,46.0,0.0,25,173,198,
9449,2012-02-03,Spring,2012,February,14,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,14.76,17.424999999999997,46.0,15.001299999999999,22,148,170,Medium Wind
9450,2012-02-03,Spring,2012,February,15,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,15.58,19.695,40.0,0.0,48,168,216,
9451,2012-02-03,Spring,2012,February,16,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,37.0,7.0015,36,275,311,Low Wind
9452,2012-02-03,Spring,2012,February,17,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,16.400000000000002,20.455000000000002,37.0,6.0032,30,458,488,Low Wind
9453,2012-02-03,Spring,2012,February,18,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,15.58,19.695,40.0,8.9981,17,368,385,Low Wind
9454,2012-02-03,Spring,2012,February,19,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,13.940000000000001,17.424999999999997,49.0,7.0015,11,256,267,Low Wind
9455,2012-02-03,Spring,2012,February,20,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,13.940000000000001,17.424999999999997,49.0,7.0015,8,155,163,Low Wind
9456,2012-02-03,Spring,2012,February,21,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,13.940000000000001,17.424999999999997,49.0,7.0015,8,126,134,Low Wind
9457,2012-02-03,Spring,2012,February,22,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,13.940000000000001,17.424999999999997,49.0,7.0015,3,116,119,Low Wind
9458,2012-02-03,Spring,2012,February,23,Non-Holiday,Friday,Working Day,Clear/Partly Cloudy,10.66,13.635,70.0,7.0015,3,74,77,Low Wind
9459,2012-02-04,Spring,2012,February,0,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,10.66,13.635,70.0,7.0015,10,76,86,Low Wind
9460,2012-02-04,Spring,2012,February,1,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,10.66,13.635,70.0,7.0015,0,43,43,Low Wind
9461,2012-02-04,Spring,2012,February,2,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,12.879999999999999,70.0,6.0032,6,38,44,Low Wind
9462,2012-02-04,Spring,2012,February,3,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.395,75.0,0.0,1,17,18,
9463,2012-02-04,Spring,2012,February,4,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,12.879999999999999,81.0,6.0032,1,5,6,Low Wind
9464,2012-02-04,Spring,2012,February,5,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,12.879999999999999,81.0,6.0032,1,3,4,Low Wind
9465,2012-02-04,Spring,2012,February,6,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.02,11.365,87.0,8.9981,1,4,5,Low Wind
9466,2012-02-04,Spring,2012,February,7,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,9.84,12.120000000000001,87.0,8.9981,1,27,28,Low Wind
9467,2012-02-04,Spring,2012,February,8,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,14.395,87.0,0.0,4,86,90,
9468,2012-02-04,Spring,2012,February,9,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,12.120000000000001,81.0,8.9981,16,141,157,Low Wind
9469,2012-02-04,Spring,2012,February,10,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,9.84,12.879999999999999,87.0,7.0015,31,193,224,Low Wind
9470,2012-02-04,Spring,2012,February,11,Non-Holiday,Saturday,Weekend/Holiday,Clear/Partly Cloudy,12.299999999999999,16.665,70.0,0.0,46,224,270,
9471,2012-02-04,Spring,2012,February,12,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,12.299999999999999,15.909999999999998,70.0,6.0032,40,260,300,Low Wind
9472,2012-02-04,Spring,2012,February,13,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,12.299999999999999,14.395,70.0,12.998000000000001,58,244,302,Low Wind
9473,2012-02-04,Spring,2012,February,14,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,13.120000000000001,15.15,66.0,15.001299999999999,47,229,276,Medium Wind
9474,2012-02-04,Spring,2012,February,15,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,13.120000000000001,15.15,66.0,15.001299999999999,61,244,305,Medium Wind
9475,2012-02-04,Spring,2012,February,16,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,13.940000000000001,16.665,61.0,11.0014,20,123,143,Low Wind
9476,2012-02-04,Spring,2012,February,17,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,12.299999999999999,14.395,70.0,12.998000000000001,13,54,67,Low Wind
9477,2012-02-04,Spring,2012,February,18,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,11.48,13.635,75.0,11.0014,6,58,64,Low Wind
9478,2012-02-04,Spring,2012,February,19,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,10.66,13.635,87.0,8.9981,5,75,80,Low Wind
9479,2012-02-04,Spring,2012,February,20,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,9.84,11.365,93.0,12.998000000000001,4,73,77,Low Wind
9480,2012-02-04,Spring,2012,February,21,Non-Holiday,Saturday,Weekend/Holiday,Light Precipitation,9.84,12.120000000000001,93.0,8.9981,4,74,78,Low Wind
9481,2012-02-04,Spring,2012,February,22,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,9.84,12.879999999999999,87.0,6.0032,4,91,95,Low Wind
9482,2012-02-04,Spring,2012,February,23,Non-Holiday,Saturday,Weekend/Holiday,Misty/Cloudy,9.84,12.120000000000001,87.0,8.9981,4,66,70,Low Wind
